,DATE,avalanche_sum,PRCP,SNWD,TMAX,TMIN,MONTH_1,MONTH_10,MONTH_11,MONTH_12,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,snow_diff_day,snow_diff_week,got_snow,min_below_freezing,max_above_freezing,min*max,avalanche_binary,Region_Ogden,Region_Provo,Region_Salt Lake,Region_Uintas
3839,2010-05-21,0.0,0.0,63.0,49.0,34.0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-9.0,0,0,1,0,False,0,0,1,0
3840,2010-05-22,0.0,0.62,62.0,44.0,23.0,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,-7.0,0,1,1,1,False,0,0,1,0
3844,2010-05-27,0.0,0.0,55.0,54.0,42.0,0,0,0,0,0,0,0,1,0,0,0,0,-5.0,-7.0,0,0,1,0,False,0,0,1,0
3845,2010-05-28,0.0,0.0,56.0,54.0,36.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,-7.0,1,0,1,0,False,0,0,1,0
3846,2010-05-29,0.0,0.18,54.0,37.0,27.0,0,0,0,0,0,0,0,1,0,0,0,0,-2.0,-9.0,0,1,1,1,False,0,0,1,0
3847,2010-05-30,0.0,0.0,48.0,48.0,25.0,0,0,0,0,0,0,0,1,0,0,0,0,-6.0,-14.0,0,1,1,1,False,0,0,1,0
3850,2010-06-02,0.0,0.22,40.0,56.0,32.0,0,0,0,0,0,0,0,0,1,0,0,0,-3.0,-20.0,0,0,1,0,False,0,0,1,0
3851,2010-06-03,0.0,0.0,36.0,58.0,34.0,0,0,0,0,0,0,0,0,1,0,0,0,-4.0,-19.0,0,0,1,0,False,0,0,1,0
3852,2010-06-04,0.0,0.0,32.0,61.0,33.0,0,0,0,0,0,0,0,0,1,0,0,0,-4.0,-24.0,0,0,1,0,False,0,0,1,0
3853,2010-06-05,0.0,0.0,20.0,62.0,47.0,0,0,0,0,0,0,0,0,1,0,0,0,-12.0,-34.0,0,0,1,0,False,0,0,1,0
3867,2010-06-19,0.0,0.0,0.0,68.0,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,1,0,False,0,0,1,0
3868,2010-06-20,0.0,0.0,0.0,65.0,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,1,0,False,0,0,1,0
