STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDMV,WESD,WT01,WT03
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/9/2000,,,,,,0.5,,0,44,52,34,43,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/10/2000,,,,,,0,,0,54,63,42,51,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/11/2000,,,,,,0,,0,58,64,47,57,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/12/2000,,,,,,0,,0,55,62,45,45,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/13/2000,,,,,,0,,0,49,57,42,48,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/14/2000,,,,,,0,,0,58,66,46,60,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/15/2000,,,,,,0,,0,57,65,44,44,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/16/2000,,,,,,0,,0,46,57,37,41,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/17/2000,,,,,,0,,0,52,63,38,56,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/18/2000,,,,,,0,,0,56,65,50,51,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/19/2000,,,,,,0,,0,52,59,43,43,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/20/2000,,,,,,0,,0,50,57,39,49,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/21/2000,,,,,,0,,0,59,68,47,58,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/22/2000,,,,,,0,,0,67,75,56,63,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/23/2000,,,,,,0,,0,67,74,59,61,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/24/2000,,,,,,0,,0,64,72,56,59,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/25/2000,,,,,,0,,0,62,69,55,56,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/26/2000,,,,,,0,,0,61,70,51,56,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/27/2000,,,,,,0,,0,62,72,55,58,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/28/2000,,,,,,0,,0,64,76,54,62,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/29/2000,,,,,,0,,0,66,74,58,64,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/30/2000,,,,,,0,,0,62,72,53,57,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,7/1/2000,,,,,,0,,0,65,74,55,62,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,7/2/2000,,,,,,0,,0,66,75,59,60,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,7/3/2000,,,,,,0,,0,61,73,49,49,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,7/4/2000,,,,,,0,,0,58,67,48,54,,0,,
